seller,sales,location
UkrBaraholka,38,None
ReedingRainbowReeds,27,Muncie Indiana
VintiquesEtcII,623,Burlington Wisconsin
TheMintedMelody,0,None
ProvoquerlaCuriosite,1263,Hyde Park New York
iEduArts,0,Barcelona Spain
HatteDesign,355,Rennes France
Waitingforgeorge,282,Johannesburg South Africa
KennaKaysCreations,364,Jacksonville Oregon
vintageinmichigan,1732,South Lyon Michigan
PamelaMurphyVintage,5433,Pittsburgh Pennsylvania
LaraFantasy,21,Kyiv Ukraine
OldShopBoutique,34,Kryvyi Rih Ukraine
HipCatRetroVintage,2550,Columbus Ohio
ElektraAndPlato,609,None
GenevaMaeVintage,2225,Darien Wisconsin
BeansterGoods,10340,Ambridge Pennsylvania
JaanasVintageHome,1211,Alpharetta Georgia
Stickerbrand,7612,Orlando Florida
NotOverItVintage,1244,Ann Arbor Michigan
PortlandPandemonium,601,Portland Oregon
MoonTrineAndCo,10,Sacramento California
hitchingpostantiques,9,None
GnarledWares,1000,Fenton Michigan
ATrifleBizarre,216,Poulton-le-Fylde United Kingdom
TheWildWorld,5576,Lincoln California
VintageHistoricalGA,80,Atlanta Georgia
KJCProducts,0,City of London United Kingdom
nomorebrokendish,1196,None
ThevintagebuffetShop,49,San Diego California
MICKEYMANTLEFANNO7,1014,Forest Hill Maryland
FlippedVintageFinds,137,None
WhiskeyRiverAntiques,1039,Whitewater Wisconsin
Vintagerocksautism,759,Hawthorne New Jersey
YeOldeVintagishStop,33,Chattanooga Tennessee
Divintana,4,None
LunaJunctionVintage,1753,Northfield Ohio
VintageComicsDecor,1,None
MusicbyTeresa,0,Sarasota Florida
ModernPriscillaShop,290,Salt Lake Utah
MissHepburn,54,Katy Texas
PeggysAtticTreasures,123,Ocala Florida
TheBlackVinyl,4447,Los Angeles California
TimetrekVintage,2532,Cincinnati Ohio
WindingCreekHome,569,Palm Springs California
myvintagedreams,1595,Fort Worth Texas
IfindUtreasure,1335,Columbia Kentucky
AuntieQsAttic,1102,Nyack New York
CollectionSelection,1770,Butler Pennsylvania
MyThreeSonsVintage,3347,East Stroudsburg Pennsylvania
Michaeljamesthings,59,None
hoarderswag,482,Sydney Australia
BradleysBookShop,21,None
VintageSilverLining,3464,Clovis California
PastPerfectAntiquity,545,Newmarket Canada
chices,64  on Etsy,None
VintageLostButFound,456,Los Angeles California
BigRidgeCollectibles,122,Chattanooga Tennessee
HyacinthVintageFinds,9,None
Jellajeans,416,Los Angeles California
VintageCoolETC,2011,None
MsMedleysCurio,10,Paonia Colorado
MyGrandmothersHouse,384,Maberly Canada
MuleRider1997,56,None
mantisvintage,1483,Madison Wisconsin
LeVintageDeFrance,513,None
AcadiaVintageGifts,31,None
Gravitasgaragesales,12,Johnstown New York
Papersandpages,397,None
KittyCrafts80,149,Sparta Tennessee
TheCordialMagpie,879,Liverpool New York
TammysFindings,1724,Lowville New York
AardvarkEmporium,2042,Port Huron Michigan
PJsAntiqueTreasures,198,Gainesville Georgia
DustyMusicCo,0,Rugby United Kingdom
HowFetchVintage,18,Toronto Canada
MalyssasCloset,14,Cochrane Canada
ACheckeredPastShop,25,None
Womanthroughacentury,28,Hamburg Germany
UpHomeCollectibles,312,Stow Ohio
MonsieurRenardsAttic,1410,Exeter United Kingdom
ClaresVintage,1041,Llangollen United Kingdom
PickledillyCircus,11,Magrath Canada
OneidaBlue,14,Williamstown New York
KirilyVintage,419,Greenwood Indiana
1019Build,5,None
Cooltreasurebymark,70,None
countryroadgifts,2131,Oologah Oklahoma
HerringboneVintageCo,1246,Shirley New York
ellielanevintage,1681,Goole United Kingdom
BarefootAndCivil,1418,Goshen Ohio
BOMAJTreasures,22,Detroit Michigan
HoundTales,1118,Hampton New Jersey
MistySkyFinds,6,Clifton Colorado
VintagePaperByReba,643,San Diego California
BarnboardAntiques,1430,Toronto Canada
DimestoreCowgirls,152,None
JewelBoxAndAttic,492,Berkeley California
KingsleyPublishing,1063,Los Angeles California
Adoubletour,336,None
TreasureAlleyCincy,418,Cincinnati Ohio
Knittingfashionstyle,214,None
Vintages7,111,Grass Valley California
QVintage,1026,Springfield Virginia
BookishWoolies,45,South Deerfield Massachusetts
ThePrettyPinkPig,15,Selinsgrove Pennsylvania
APBelair,6,None
CrookedTailCat,162,Phoenix Arizona
OldBookSource,226,Irvine California
MerilinsRetro,2019,Tallinn Estonia
20thCenturyCool,2885,Chicago Illinois
BroadStVintage,358,Newton Falls Ohio
PerpetualOils,171,None
AtomicPhenomic,1832,Medford Minnesota
Walnuttiques,93,Greenville South Carolina
undoneeclectic,2536,Boise Idaho
CasaChic,128,Fort Lauderdale Florida
PalaunuOhana,0,Lahaina Hawaii
GUTTERSNIPES,2321,None
100CellsVintage,165,Barnstaple United Kingdom
SASSnTX,392,San Antonio Texas
HomeMatters2Us,119,Reno Texas
GospelHymnsVintage,1064,Los Angeles California
LikeNanaMade,3,Saint Paul Minnesota
bobloveseleanor,501,Cuyahoga Falls Ohio
ArianasOriginals,141,None
Llibre,373,Ohio City Ohio
TuttoVintageShop,4,None
traderyore,443,None
AntiquesByIndiaRose,2021,Montrose Colorado
VintageTinsel,1298,St Louis Missouri
OldPaperAndPages,1340,Belgrade Maine
MarymereVintage,733,Port Angeles Washington
SecondMouseFinds,81,None
MinsthinsCollectible,15,None
Serendipity3Rivers,558,Three Rivers California
VintageConquest,309,Arlington Heights Illinois
RedCottage,5776,Owls Head Maine
HeatherbraeAntiques,195,Vancouver Canada
ClemNThyme,458,North Kansas City Missouri
KalymiPublishing,43,None
QuaskyTreasures,41,Independence Iowa
BeenJunkin,18,Argyle Texas
Frankorasfinds,1218,Aurora Missouri
geezerstuff,866,None
QuinsippiMercantile,770,Quincy Illinois
gopherwoodvintage,38,None
Rhpepsi1,707,Stephens City Virginia
CSProjections,36,None
VIVALASVINTAGE,2993,Las Vegas Nevada
baublesandblingforu,2472,Naples Florida
DustyFrogs,492,Kempner Texas
TheCopperheadCowgirl,167,Conover North Carolina
PastThatLasts,425,None
peaseporridgepress1,515,Lunenburg Massachusetts
WholeNature,11,Crawford Nebraska
SheshesheVintage4You,244,Wallingford Connecticut
PeartreeVintageFinds,2,Lyndhurst United Kingdom
LithographLibrary,1342,Kettle Falls Washington
OldeLaneBooks,30,Brampton United Kingdom
AndysAntiquesAndFarm,766,Sodus Michigan
DewDropInnGifts,236,Assonet Massachusetts
CollegeFundingCo,1,None
VintagePancakes,107,Scarborough United Kingdom
VintageLuberon,72,Lourmarin France
SierraGrandeVintage,59,None
BlackSeaVintage,1090,None
StylishPixie,907,Vancouver Canada
FireandHearth,33,Boston Massachusetts
KokosKornerShop,1072,Winsted Minnesota
KBVariety,42,None
ABigSkyCountryStore,19,None
AtticEmporium,1064,None
PuppyLuckVintage,3690,Seattle Washington
AtomicAcres,404,Austin Texas
ZeitreiseFrankfurt,1249,None
bajanx,239,Hunt Valley Maryland
IreneAndRoseAntiques,641,Edgewater Maryland
ikigaivoyage,430,Tokyo Japan
TheTaoOfCat,476,None
ChetsManCave,16,None
TheCreativeHearth,468,Nanaimo Canada
ElizaBellaVintage,1665,Rush New York
BumperStickersnmore,998,Leesburg Ohio
Barbsatticfinds,65,None
RohrsAntiquities,51,Vermilion Ohio
GoshenGals,1066,Indianapolis Indiana
MeerkatsCurios,30,Tampa Florida
DandylionFarms,128,Lone Mountain Tennessee
JoJosAbFabStuff,451,Phoenix Oregon
MoniqueAndUnique,114,Littleton Colorado
oldgregrecords,3164,Oakland California
TheSteamRoomCo,22,Greenfield Wisconsin
EuphoricDepressions,3901,Portland Oregon
noplace2putit,122,Lancaster California
LadybugRiot,30,Baltimore Maryland
MarlosMarvelousFinds,1299,Elgin Illinois
SunCityShoppe,106,None
VintagePrairieHome,6871,Topeka Kansas
floridahomecreations,2,None
TickleAndFinch,1044,Geelong Australia
acollectedhome,279,Matthews North Carolina
terentyevpublishing,5,Tallinn Estonia
artandoddities,1,Portland Oregon
BlueWillowAntiqueATL,65,Atlanta Georgia
MossAndMagicVintage,578,Olympia Washington
PaperMotors,48,Los Angeles California
lizzyandgrace,330,Edmonton Canada
VerdeVerones,345,None
RhymeswithDaughter,1968,Cambria Wisconsin
PosterRomance,264,Montreal Canada
PeggysVintageVariety,587,Moberly Missouri
CraigsClassics,676,Hudson New Hampshire
TheVinylGarage,165,Chilliwack Canada
RetroGoRoundBoutique,81,Evansville Indiana
EllisAntiques,466,Collingswood New Jersey
Miskasasha,0,None
Dogomom,20,Saskatoon Canada
JensVintageTreasures,669,Manassas Virginia
ClassyandDapper,22,Omaha Nebraska
TravelTheRoads,353,Auburn Alabama
Vintagetoyou,66,None
ABVintageFinds,60,Danville Virginia
PieceACakePrintables,1,Orlando Florida
AStitchinLyme,95,None
TheVintagePrincipal,3233,Loveland Colorado
ELPLFriends,282,East Lansing Michigan
CazBitz,194,Broad Run Virginia
SNOBSISTERS,370,Arlington Virginia
TreasuresInTheCreek,16,Swartz Creek Michigan
bizarrebaubles,3391,New Smyrna Beach Florida
AtticEsoterica,500,Abington Pennsylvania
LivelyTreasures,649,Gore Oklahoma
SherwoodBookworm,78,Newark on Trent United Kingdom
RoughAndRustic,638,Trinity Alps California
CookyCuttersnClutter,112,None
JunkyardJezabel,1211,Hutchinson Kansas
DotDotTrace,190,None
LaVintageSpirit,42,Chehalis Washington
PrimoTempo,2211,Glen Mills Pennsylvania
timelapse,741,Fort Collins Colorado
BethiesBizarre,333,Austin Texas
AuntsAttic10,562,Durham North Carolina
BluePearEmporium,555,Montreal Canada
PoppysPaperShop,825,Sebago Center Maine
KingsleyVintageShop,14,Riverside California
ImpalaPrints,1995,London United Kingdom
GailsPrintCrafts,1515,Richland Washington
Exocoin,3406,Oklahoma City Oklahoma
TheCountryFairey,0,None
AnniesEclectics,1128,Greenwood Village Colorado
LaLanterne,744,Amsterdam The Netherlands
IceAgeTreasures,232,Des Moines Iowa
DenaDeclutters,11,Vancouver Washington
AtticHorder,16,Genesee Pennsylvania
indiatrade,1850,Loxley Alabama
AltosequanaVintage,11,Paris France
PickingGreenAcres,49,Parkville Missouri
graybeardsfinds,1086,Fort Worth Texas
LaMarysa,489,Allauch France
ChestersCopperpot,151,Milford Connecticut
VernacularBookShop,32,Montpelier Vermont
PitziGil,103,Gaffney South Carolina
ToysFromTheAttic,3651,Reading Pennsylvania
HomeSweetAppalachia,27,Wheeling West Virginia
LoDoDenverVintage,180,Denver Colorado
LaVogue,1466,None
everythingofinterest,695,None
atgrandmastable,300,Fortuna California
SkopadiddleVintage,365,Castle Douglas United Kingdom
UneBrocantenProvence,145,Roussillon France
OzmasTreasureRoom,3572,Madison Wisconsin
AlOubliette,120,Lille France
Werlie,89,The Hague The Netherlands
Terrystreasuretrunk,1920,Winlock Washington
SouthportVintageCo,180,Southport Connecticut
CHITARRASUONAMELODIA,1,None
LilyGoldVintage,210,Giverny France
CarlaRaeVintage,4014,Morganfield Kentucky
RedDoor33,72,Long Island New York
VintageClassicsLtd,112,Cape May Court House New Jersey
blueapplevintage,1615,None
AdasVintageTreasures,246,Newburyport Massachusetts
GeckosEmporium,73,Wrexham United Kingdom
JustJaneEclecticShop,24,Sacramento California
SolLion,121,Toms River New Jersey
PorcupinePickings,7,Houston Texas
TwoDogsCollectibles,101,None
WildCardVintage,285,Orofino Idaho
GardenoftheKing,407,Franklin Indiana
VaultD,24,Lossiemouth United Kingdom
xxxxxvintage,1059,Portland Oregon
petmusic,154,Saint Francis Minnesota
ButchsAntiques,139,None
Neelieshops,136,None
HollyPopsBoutique,4,None
Onfleekantique,48,None
HouseofVintageLoveCo,18,Dayton Ohio
TheCopperDaisy,1549,Detroit Michigan
Moblersingapore,9,Singapore
TheCraftyCottage65,5,None
WhatsInTheCrate,378,Northampton Massachusetts
CuriousGoodsII,258,Red Lion Pennsylvania
MyTravelingBoutique,1493,Vancouver Washington
IRememberWhenVintage,802,Salt Lake Utah
YesterYearsBySusanne,37,Monroe Louisiana
ellesh71,2503,Manchester Michigan
LemonTreeBooks,875,Peterborough New Hampshire
DKMCollectables,4,Kenosha Wisconsin
KeenoRama,221,Longwood Florida
OrianaNiChearnaigh,185,Todmorden United Kingdom
MissMagpiesShoppe,804,Tunnel Hill Georgia
PapasGoodOleDays,4645,Beaver Dam Wisconsin
AuntSistersPicks,10408,Springfield Tennessee
CocosRoom,1276,None
DoeHill,263,Colorado Springs Colorado
MondernVintage,1,None
Xshowbiz,0,None
VintageSunshineUSA,32,Conway South Carolina
Skomoroki,1226,Milano Italy
WendyZwishlist,9,Folsom California
oldpatterns,88,Chelmsford Massachusetts
RetroVega,655,Orlando Florida
SpringfieldFerret,1533,Springfield Illinois
JCinspirationsCo,0,None
Almazzon,556,Odesa Ukraine
TokensandTales,280,None
CunninghamsCloset,57,Deer Park Washington
DurenCo,33,San Antonio Texas
Thriftburgh,58,Pittsburgh Pennsylvania
ChapterB,121,Toronto Canada
AMEVintageFinds,0,St Helens United Kingdom
BstreetVintage,752,None
StoicGoods,3,None
Marchepuces,1815,Fontenay-le-Comte France
RustyDustyTreasures,611,Los Angeles California
ScreamDelicious,68,None
OldMaterialGirl,954,Crooked River Ranch Oregon
SaratogaBooks,94,Los Alamitos California
AnchorTownGifts,21,Anchorage Alaska
COV200,139,Covington Kentucky
UnstructuredElegance,108,Woodbridge Virginia
MothersHeartandSoul,190,Des Moines Iowa
MondoTrashoVintage,98,None
RollingHomeSalvage,77,Olympia Washington
KarlasVintage,4,Atlanta Georgia
stoneridgebooks,132,Peterborough New Hampshire
OldThingsUA,265,None
GrayCatMusic,6,None
Betsykitsch,189,None
vintagekoma,451,Vieux-Saint-Laurent Canada
EvaElsieElla,459,Collingswood New Jersey
DavensherryVintage,66,None
aCottagebytheSea,551,None
PaliaVintage,569,Markham Canada
FoundRandom,3,Lakewood Wisconsin
haylofttreasures,492,None
BettysFavoriteThings,50,Casselberry Florida
therecyclingethic,305,Central Valley (historical) California
RuggyRevival,5795,Rockford Michigan
MarilynsAtticBooks,21,None
ShemawsStuff,1071,Vidor Texas
AttiCuties,564,Phoenix Arizona
Dollarandcents,31,Port Alberni Canada
SilentWayBooks,15,None
SimpleTreasuresByLFV,9,Corrigan Texas
stickerrs,332,None
StompingGroundsBooks,1214,Geneva New York
WissamAbboud,2,None
JewelCreekAntiques,85,Grand Forks Canada
JewelrygemsBoutique,75,Boise Idaho
JustClickThreeTimes,873,Lindsborg Kansas
TheBeautifulBarn,791,Rochester Michigan
RueDeFlorenceDesign,168,Houston Texas
AmericasMainStreet,2185,New Orleans Louisiana
RetroLemonVintage,590,Scottsdale Arizona
LuckyCatBookShop,144,Cumberland Maryland
jltstudio,1679,None
MadEphemera,32,Dobbs Ferry New York
LovinHomeTreasures,24,Raleigh North Carolina
familyjewelsatlanta,4070,Atlanta Georgia
LittleVintageStories,2538,Encinitas California
MilkweedHillVintage,293,Elk Mound Wisconsin
CactusandHedgehog,111,Centreville Virginia
GableandGarbo,1,None
CosyCuratedCottage,158,Spokane Washington
VintageDMA,2,Hershey Pennsylvania
PearlsVintagebyPam,1186,Manlius New York
Colorsforkidsshop,5086,Edmonton Canada
VintageFarmyard,685,Cambridge Minnesota
SovietHomeStuff,133,Odesa Ukraine
oldvintagemm,168,St Louis Missouri
crownhill,1176,Nashua New Hampshire
KordGoods,431,Scottsdale Arizona
MoreUnusualTheBetter,1376,Kingston New York
SarahsNickNacks,860,None
Classactt,82,None
VintageSupplyCo,15845,Brevard North Carolina
NicheAesthetics,6,None
dischead,11,None
NostalgiaForeverShop,5,None
UStamp2,1567,Tacoma Washington
ClassicTouchRetro,46,Belton Missouri
DoodoosDabblingFinds,190,None
TheHiddenGrove,554,Chorley United Kingdom
SophiasWonderland,1245,Warren Ohio
MyBeautifulBavaria,4078,Bayern Germany
MaxiMusic,4,Salt Lake Utah
TripVintageWorld,141,Meridian Idaho
RevivalShopVintage,652,Ladysmith Canada
CameoAntiqueMall,66,Sauk City Wisconsin
VinteriaHomeFinds,221,Peterborough United Kingdom
VISIONAGE,136,Pittsburgh Pennsylvania
ArtAndAntiquesStudio,192,Poughkeepsie New York
vintageatmosphere,2659,Newaygo Michigan
LynnAnnsVintageShop,27,None
YosemitePineTreasure,19,None
BlessingsShared,53,Le Mars Iowa
NisesNostalgia,1240,Newark Delaware
FromTheFingerLakes,1052,Ithaca New York
Reshopgoods,419,Hartford Connecticut
LarrysLoot,3305,Granbury Texas
PlymouthPages,15,Plymouth Massachusetts
ClosetAccordions,2,None
TreasuresFromMaine,2535,Gardiner Maine
msvicwaas,142,Buffalo New York
IvyandOldlace,240,Warren Michigan
soundfoundry,61,Yoncalla Oregon
TwelveTurtlesVintage,116,Lakefield Canada
PearlAndBess,111,Maryville Tennessee
UNIQUETREASUREFREAK,1953,Fountain Colorado
Meadowsantiques,74,None
1940sto1980sProps,51,London United Kingdom
RileysCreationsGifts,18,Poinciana Florida
AntiqueAndBijou,240,Shorewood Wisconsin
GoshenPickers,1468,Goshen Ohio
LevelLander,1328,Alexandria Minnesota
OLgoodies,1877,Show Low Arizona
OLDSTUFFANTIQByJames,9,None
TipJarsAreUs,429,Summerville South Carolina
TimesGoneByFinds,205,Madison Indiana
VintageMaTrouvaille,310,Angoulême France
LVPinkPanther,115,Henderson Nevada
Sgtpapers,40,Portland Oregon
WPTaylorAAC,473,Richmond Virginia
ejprim,3,Ashland Ohio
EbonNoir,574,New York United States
BygonesVarietyShop,4612,Granite Falls Washington
TheBountifulShip,52,None
LazyDogAntiquesKC,414,Kansas City Missouri
DaisyDoesVintage,15,Detroit Michigan
CurlsMoreAlice,38,None
CrossTimbersVintage,6,Arlington Texas
EmAndMVintage,10,Jersey City New Jersey
KatreneStarVintage,288,Tecumseh Michigan
VintageClothingDream,632,San Jose California
LullabeeGiftShop,0,Liverpool United Kingdom
Venelle,784,London United Kingdom
Daughtersanddeeds,149,None
Nightofjoyvintage,1789,Rochester New York
Jenafefe,1,None
YourFineHouse,1324,Boston Massachusetts
VintageofTN,2278,Tennessee (historical) Tennessee
LifetimeFinds,496,Newport News Virginia
PatriciaBrewerArtist,423,Raleigh North Carolina
VintageSunsetBeach,175,None
LucysVintageKitchen,187,East Islip New York
laborandglean,53,Danville New Hampshire
wesleyblue,1,None
FineByMePaper,19,Kripplebush New York
joanne44,1414,Moultrie Georgia
OrphanedTreasure,3303,Lake Ozark Missouri
ultimatedecor,336,None
FatCatzCreations,91,Algonquin Illinois
BerkshireShopGirl,1828,Hinsdale Massachusetts
PaperFromThePastShop,27,Fort Worth Texas
GrammaKathysTreasure,2826,Rochester Wisconsin
RigbysTrunk,1031,Detroit Michigan
ColporteursCloset,3,None
lisacook,3037,Amherst Wisconsin
watchfinders,157,Franklin North Carolina
WhiteSwanTreasures,535,San Francisco California
SoSylvie,1239,Santa Cruz California
allyouneedmimi,7,Ashdod Israel
CTsUniquities,1062,Stillwater Minnesota
WalkingSequoia,480,Sandusky Ohio
buenobookshop,332,Santa Fe New Mexico
DoolallyDaisy,325,Liverpool United Kingdom
PrettyPoppiesVintage,1151,Saint Paul Minnesota
shabbyfrenchvintage,8668,None
boboCOLLECTED,1274,Brooklyn New York
OldjoyStudio,0,None
SwankyLadyVintage,1190,None
BubosBeatBoutique,1575,Cascadia Oregon
2SouthernPickers,227,Griffin Georgia
TucsonTiques,341,Tucson Arizona
TheVintageHutchFinds,1130,Maine United States
LittleCabinTreasures,230,Claremore Oklahoma
TimsTimelessToys,303,Branson Missouri
cascadetreasureshop,22,Bend Oregon
NebraskaSky,98,None
WhirligigEmporium,1389,Owosso Michigan
avedouda,154  on Etsy,None
HeavenlyEclectic,60,Trinidad Texas
KDVintageSales,3,None
VintageDivaEmporium,421,Balaklava Australia
BookofChoice,74,Bemidji Minnesota
Geervintagefinds,334,Bisbee Arizona
MPGames,221,None
Momsdrawer,71,None
BellaCascada,2965,Bend Oregon
BeeSewCreative,1011,Arlington Texas
RenjieArt,0,None
TinkTinyThriftShop,34,Manteca California
suzellastreasures,270,None
AppalachianRevival,2205,None
JansVintageStuff,6526,Chicago Illinois
ChessTravellerShop,137,None
OldThingsMakeMusic,3176,None
AnnaWollhexe,2,Vienna Austria
AlittlebitmessyFinds,7,Seekonk Massachusetts
TexasCactusGirl,114,Brownwood Texas
kathysvintagevillage,121,Morton Pennsylvania
Grannysbox,1919,Kharkiv Ukraine
LittleBearPioneer,4,Indianapolis Indiana
MomsantiquesNthings,2144,Livonia New York
JoshuaKeelingMusic,0,None
BananasDesign,1096,Lancaster Pennsylvania
BooksInRussian,22,Kyiv Ukraine
goodstuffbyannie,1139,None
TheThriftyGypsyy,143,Orlando Florida
ReplayedDecade,766,Manchester New Hampshire
TrouvereMedieval,137,Richmond United Kingdom
MellowYellowCompany,180,Jacksonville Florida
SassyGrannyVintage,3225,Green Bay Wisconsin
ArmoryArtandAntiques,1038,Kinderhook New York
handpickedbytammy,525,Montreal Canada
F3IndustriesMusic,108,None
DesertdAZevintage,256,Cave Creek Arizona
AHiddenNest,903,Plaistow New Hampshire
GreatGatsbys,1509,Palm Springs California
MimisMenagerie,615,Charleston West Virginia
HainesHobbies,63,Boalsburg Pennsylvania
FoundbySusan,2272,Providence Rhode Island
LordFauntleroy,158,Waite Hill Ohio
DigitalAlice,12889,Kennebunkport Maine
Atticsandbasements,353,Dayton Ohio
ARusticChic,163,Sarasota Florida
JigsandLarry,2468,Seattle Washington
DorfsmithGifts,710,Flagstaff Arizona
TalkingPlanterToys,332,Woodbury Minnesota
TearDropCurio,1866,Greenville South Carolina
HatefulRaspberry,0,Los Angeles California
SwanCreekCottage,2990,Lake Michigan Beach Michigan
MMFUNFINDS,565,Grand Junction Colorado
OffbeatAvenue,1983,Leominster Massachusetts
ArtGreenShop,4,Shanghai China
TheVelvetPath,249,None
IgnatiusGreyVintage,1695,Norfolk Virginia
QueenBeeOffTheGrid,27,None
TiVergy,401,Kyiv Ukraine
Prettyvintagehouse,934,Barrow upon Humber United Kingdom
Papeteriedeparis,1280,Lyon France
ChellasCollection,2878,Grand Rapids Michigan
GoldenDoorBooks,2,None
MtnTopVintageShop,43,Fancy Gap Virginia
AdmathaGifts,124,Canton Connecticut
LittleRidgeRanch,186,Dallas Texas
LastWordThreads,476,None
NetherHouseVintage,2,None
MC5Enterprises,901,Houston Texas
Vintify1,363,St Louis Missouri
NostalgicPunk,928,Horse Shoe North Carolina
2BrokeGirlsTreasures,139,None
VintageRabbitHome,419,Tampa Florida
1kidsummer,106,None
TnTantiquesShop,106,None
LadybumbleVintage,3371,Ottawa Canada
AttysVintage,6322,Minneapolis Minnesota
HamptonRanchEstate,184,Bakersfield California
DMTreasures,689,Sequim Washington
CordialEncounter,30,None
StitchesToStones,537,Manistique Michigan
PrattsPatch,886,Northampton United Kingdom
SUNSHIshabbyvintage,270  on Etsy,Herrenberg Germany
accessorytoawedding,1149,Lombard Illinois
WhenIWasAKidShop,661,Orange City Florida
CactusMayVintage,278,None
ThisCuriousLife,3,None
KoseligMusic,2,London Canada
TheWonderCreations,637,Sumter South Carolina
RumpstumpsandThings,5,Warrenton Missouri
StellasChifferobe,3236,Chattanooga Tennessee
SissyBoomsPartyRoom,1031,Bossier City Louisiana
AthenasAddictions,111,Albuquerque New Mexico
svelteSTUFFj,518,Auburn New York
BirdhouseBooks,161,Atlanta Georgia
LilliLovesMusic,171,Fort Worth Texas
CoolLuxuryGift,330,Montreal Canada
Tollboothphantom,507,Hudson New York
TheTravelingTortoise,751,Byhalia Mississippi
TrendyThrifter,357,Charter Township of Clinton Michigan
RareVintageByMichele,787,Rancho Mirage California
MagnoliaBridge,187,Morristown Tennessee
BonesBailey,671,Elizabethtown Kentucky
PrairieHomeHandworks,236,Tuttle Oklahoma
BarbNBevShop,236,Grand Forks North Dakota
goldnut,324,Grand Rapids Michigan
RyenardMusic,1,None
JubileeResaleStore,415,Lewisville Texas
1000CrowsAntiques,8,Toronto Canada
RetroThingsNMore,3,None
InkandPaperVintage,883,Wausau Wisconsin
LynnMichelleDesign,1210,Hartville Ohio
HardangerHouse,238,Stettler Canada
TresorsdAlsace,1426,Mulhouse France
RRCollectiblesBiz,288,Redmond Washington
flashbackintime,728,Bala-Cynwyd Pennsylvania
SmithToyAttic,65,Lynn Haven Florida
KoolKoolThangs,396,Woodstock Canada
SibeletcoFR,14,None
DustyRustyDecor,80,Lossiemouth United Kingdom
AudrinaRoseDesign,9,Westerville Ohio
EraAntiquesandFinds,662,Homer Glen Illinois
NinskaPrints,6144,Bristol United Kingdom
NewMoonVintageGoods,264,None
TokioHillCollections,211,None
myoldiesnu4u,102,Mount Prospect Illinois
YellowMod,1175,Orange Texas
HighwaterGal,74,Indianapolis Indiana
vividlyvintagegifts,177,Denver Colorado
SpecializedMedia,633,Castle Rock Washington
thevintagefinn,57,None
My25thHour,2721,North Muskegon Michigan
BlueAgateFarms,1371,Cumming Iowa
StrangeWomanOnline,1,Farmington Hills Michigan
BeneathThePinkPetal,246,Austin Texas
LIVandLACE,500,Chillicothe Missouri
TreasuresDelMar,147,Astoria Oregon
Coreenthelion,356,Wallingford Connecticut
PaperSymphony,5716,Morgan Hill California
CharmedeFrance,199,Grenoble France
WildingsVintage,1255,Much Wenlock United Kingdom
TheBrocantuer,170,Valley Center California
MusicLoversEmporium,0,None
LadyandtheVampsLLC,3,None
RiverHillExchange,2493,Adams Wisconsin
smile4mecards,561,Willow Springs Missouri
PTsFindsandDesigns,246,Toledo Ohio
VintageAnthologies,115,Omaha Nebraska
TheBackShak,4308,Haines City Florida
SallysSassyVintage,195,Salem Virginia
savannahwillow,2589,Ann Arbor Michigan
TempoPassato,267,Vicenza Italy
ByTownTreasures,903,None
SANDJCRAFTSANDTHINGS,396,Brooklyn New York
TheAltoClef,555,Clovis New Mexico
TheFactorie,730,None
apickerseye,1794,None
TKSPRINGTHINGS,2379,Yuma Arizona
GagnonCollectibles,679,Elk Grove California
VintageDecorFrancais,3758,Le Mans France
FlorinStreet,68,London United Kingdom
cottagecollection,1032,Little Rock Arkansas
DoublePedalVintage,98,Detroit Michigan
ArtyMargit,418,Manchester United Kingdom
maddyq,2279,West Palm Beach Florida
MustardDandelion,4544,Cleveland Ohio
CorkysTreasures,164,Lincoln Nebraska
CaribooCollectibles,1509,Vancouver Canada
LemonlyPink,238,Seattle Washington
ApiaryAntiques,306,Seattle Washington
meetintheair,2,Red Bluff California
AudioSolutions,4,Royal Leamington Spa United Kingdom
VinylDestiny,1257,None
kitschannette,5045,Lebanon Ohio
CapeCodVinyl,701,None
BOROVINTAGE,69,Las Vegas Nevada
TheGardenRoom1,457,Diss United Kingdom
IsleOfSpades,2365,None
BaskervilleAntiques,234,Blue Hill Maine
HandshakeRecords,898,Northport New York
TheMusicShopAndMore,129,Port Richey Florida
RaleighRecords,191,Raleigh North Carolina
JohnLaurenceCrafted,123,Auckland New Zealand
Rackamoon,562,Huntington New York
Offbeatrelics,334,Tyler Hill Pennsylvania
artyfakt,278,Port Angeles Washington
TheVinylBin,4,Toronto Canada
AntiquarianCDs,8,Saratoga California
KILYOMUSIC,3,Columbus Ohio
JayBirdsVintageShop,1114,Bradenton Florida
BestVintageDealsByRJ,89,Sedona Arizona
Kneecellerate,0,Lincoln Nebraska
BabyBearsMusic,68,Fairhope Alabama
InvestInVintage,4,None
NiftyLunch,340,LaGrange Illinois
TotallyAwesomeVinyl,759,Washington D.C.
SenoritaFishBoutique,65,San Diego California
RetroRecordArt,162,North Las Vegas Nevada
VinylMugshot,371,Meadville Pennsylvania
ReclaimYouth,1285,Simpsonville South Carolina
HouseOfTheFound,915,None
ProvisionsNJ,290,Midland Park New Jersey
KaiaKena,3,Centennial Colorado
OregonTreasureTrove,197,None
OutOFVivsAttic,293,Melville New York
sweetleafvinyl,8501,Salem Massachusetts
theposterposter,1889,None
