price,comments,free_shipping2,bestseller2,sales,sellername
52.0,513.0,0,0,2481.0,AfricaStylesImports
10.0,8.0,0,0,39.0,AfterHoursDropBox
195.66666666666666,4.0,0,0,32.0,AfterLaterAudio
38.0,121.0,0,0,520.0,AftonTrader
17.99,39.0,0,0,394.0,Agoleaf
15.0,0.0,1,0,1.0,AiMCollectibles
81.16,209.0,0,0,1073.0,AirStraps
196.33333333333334,129.0,0,0,696.0,Akitradingpost
12.57,2.0,0,0,19.0,AkkesAttic
236.27,42.0,0,0,120.0,AlOubliette
269.21,7.0,0,0,23.0,AlRetro
175.0,10.0,0,0,27.0,AlanMarieDesigns
250.0,0.0,0,0,0.0,AlaskanArtnWoodwork
55.083333333333336,1.0,0,0,6.0,AlatyrStore
29.1,21.0,0,0,136.0,AlbatrosPelletteria
141.65666666666667,300.0,0,0,2547.0,AlbatrossGuitars
36.61666666666667,22.0,3,0,101.0,AlchemyAudio
16.35866666666667,6623.0,0,0,27675.0,AlexandersAtticVa
15.9,0.0,0,0,0.0,AlexandroQuerevalu
541.2,0.0,0,0,0.0,AlexisMusicalSaw
600.0,0.0,0,0,0.0,AlgebraicModular
5.0,74.0,0,0,322.0,AliciaVintageShop
28.0,1.0,1,0,7.0,AlittlebitmessyFinds
19.0,2341.0,0,0,10500.0,AllAboardWhistle
15.0,4.0,1,0,12.0,AllAboutTapes
6.0,5.0,0,0,15.0,AllAboutVintageUS
12.95,27.0,0,0,52.0,AllAbtVintageAndMore
9.011428571428569,218.0,0,0,973.0,AllCuriosities
17.99,1608.0,0,0,7939.0,AllCustomGifts
10.37037037037037,1348.0,0,0,5562.0,AllNightGarageSale
14.5,26.0,0,0,101.0,AllOverTwisted
8.5,1.0,2,0,9.0,AllStarOpera
79.98,40.0,0,0,166.0,AllTimesPast
5.4425,32.0,0,0,149.0,AllaCartaCards
349.0,0.0,1,0,1.0,AllcreativeNjunk
271.6666666666667,2.0,0,0,21.0,AlloyGuitars
156.5,79.0,0,0,480.0,AllwoodStands
14.266666666666666,215.0,0,0,556.0,Almazzon
66.0,7.0,0,0,84.0,AlpacaGuitar
345.0,14.0,0,0,101.0,AltCollects2forU
21.5,1.0,0,0,2.0,AltaiArrow
15.316666666666668,5.0,0,0,36.0,AltaistoreRU
12.0,30.0,0,0,93.0,AltayHandmade
7.346666666666667,564.0,0,0,3152.0,AltmodischVintage
3.7800000000000002,3.0,0,0,11.0,AltosequanaVintage
28.745,149.0,4,0,535.0,AlwaysWantedOne
10.99,401.0,0,0,3757.0,Alwedo
13.6,246.0,0,0,1108.0,AlysVintageAlcove
31.125,59.0,0,0,203.0,AmarDiaries
1.4185714285714286,2.0,0,0,112.0,AmazingGuitarTabs
2.0,0.0,0,0,5.0,Amberatomic83
79.1923076923077,159.0,26,0,804.0,AmericanMadeUpgrades
30.0,81.0,0,0,372.0,AmericanVinylCo
7.5,453.0,0,0,2185.0,AmericasMainStreet
57.489999999999995,243.0,2,0,1262.0,AmishLeatherWorks
50.0,4.0,0,0,13.0,AmitieHandwovens
7.0,226.0,0,0,806.0,AmyFindsEverything
